gene,signedsig__GSE125583_PRJNA516886_meta,signedsig__GSE159699_PRJNA670209_meta,signedsig__GSE231341_PRJNA964438_meta,signedsig__GSE95587_PRJNA377568_meta,signedsig__MayoRNAseq_cerebellum_meta1,signedsig__MayoRNAseq_cerebellum_meta2,signedsig__MSBB_meta1,signedsig__MSBB_meta2,signedsig__MSBB_meta3,signedsig__MSBB_meta4,signedsig__ROSMAP_meta1,signedsig__ROSMAP_meta6
ABHD16A,0.0090925908229771,0.0128699546004013,0.0121534606759001,0.0078681681800228,0.1170269948495591,0.0148536216224748,0.0079305065016344,0.0101078267696313,0.008874899972211,0.0253316568458577,0.0022639051536781,0.011454996542043
ABHD17A,0.0186157506372633,0.0083412161021971,0.0010388472043136,0.0141013122392361,0.2112448459226045,0.0012848578621457,0.0061296452560594,0.0126977443993105,0.0491647760480425,0.0070543197924089,0.0008541718911968,0.0030201467806403
ABHD17B,0.0610667758633429,0.0062343400420302,0.003859412520424,0.0099222595093026,0.1978311218934187,0.0905002379935205,0.0061336885347937,0.0198024210928176,0.0342582018064363,0.0011334546621946,5.044433550416995e-07,0.0063381680405962
ABHD17C,0.003810709032935,0.0298924671369697,0.0006816377523419,5.073595626419267e-05,0.0013998611516527,0.0001992808489687,0.0010338276576078,0.0081320214911499,0.0026051761511409,0.0021460954136743,0.0007991942932757,0.0382634835046373
ABHD2,0.006767962479479,0.0056390056969726,0.0038251228296781,0.0003427396184843,0.0405734925737033,0.0013466493363822,0.0071499487264696,0.0160287594355232,0.0060590308170684,0.0081884155708306,0.001041658840043,0.0024120546439603
ABHD3,0.0278324432824895,0.036770707936104,0.0039742333801094,0.0155003083535898,0.110390462887887,0.0334655305833716,0.0063712545392576,0.0065642514878114,0.0060572566024102,0.0077525932696133,0.00116570096115,0.0067119686927355
ABHD4,0.0031615977749708,0.0075333570294968,0.0026063850272392,0.0020177893446622,0.1145963960587391,0.0377826408864552,0.0095580810752883,0.0062190393010889,0.0325857395969153,0.0027884414789078,0.0008629982714196,0.0010648958440896
ABHD5,0.0037475378600224,0.0114791276489854,0.001299737995336,0.0109545304546294,0.0240465014506768,0.0027784875911246,0.0010154587136802,0.0047921005594559,0.0166129917010258,0.0021797704682567,0.0064542689233998,0.0031230425578853
ABHD6,0.0077399993372936,0.0136606113207744,0.0026674095719197,0.0010407195907285,0.0021441557511193,0.0015296283809455,0.0067276602194665,0.0074523499736379,0.0353909739552664,0.0068767375627457,0.0117881363995824,0.0014597109886634
ABI1,0.0904228743775894,0.0035007805085676,0.0075110062065223,0.0426078415241968,0.22079066189675,0.0872250726076351,0.0259702013326418,0.0293205871635004,0.0473092590828381,0.0320538171962291,0.0191881876755932,0.0120334105315632
ABI2,0.1371650352829949,0.0123882940940762,0.0069546796290812,0.0818574655977714,0.2798877577627583,0.0229932158932167,0.0024832520910445,0.0560221264473965,0.1499408247620453,0.0571995508359724,0.0624986279689545,0.012743643930491
ABI3,0.0361024656599947,0.0234275032891804,0.0042818701730397,0.0008577038790251,0.0101001240862382,0.018792055502058,0.0021924149318448,0.0042289086519957,0.0020216367334128,0.0049919620760839,0.003461102204635,0.0003860133340947
ABI3BP,0.015699778341726,0.0416156295839282,0.0083763587495818,0.0100691676186795,0.0729553878989781,0.0626126980485441,0.0027205393336543,0.0018008833173308,0.0158315088480694,0.0146207992322654,0.0006259924319943,0.0143911165411136
ABL1,0.0046982502788589,0.0034069051070747,0.0010370459283247,0.0002336190207565,0.1486185979886148,0.0073555287070265,0.000311354228366,0.0053801392471218,0.0001747790424975,0.0030388742826632,1.2310273360107974e-05,0.0050836254464004
ABL2,0.0172983675840696,0.0020795765481014,0.0022322431653023,0.0273074257424001,0.0484814342101603,0.0062085474015479,0.0017539514949866,0.0169695763123879,0.0090053499450501,0.0314314840937526,0.0016415456825949,0.0092680161039715
ABLIM1,0.0009395979357737,0.0091619705893524,0.0040177464742784,0.0029642051203596,0.1593556732882045,0.0294069695592524,0.0026480335908306,0.0023309109970535,0.0040816317192111,0.0074453781505129,0.0006047373151059,0.0018255417142902
ABLIM2,0.0147487117745026,0.0096910751084824,0.0053044229664781,0.0090559400446101,0.225008836886684,0.009966053448114,0.0221093554068254,0.0387030673285919,0.0547755976903221,0.0380032501509216,0.0125424879557895,0.0053898539753718
ABLIM3,0.0784512462896863,0.0201383627209334,0.0038834655314679,0.0326506406279891,0.2539619907401364,0.0854102894119301,0.0133996408882884,0.0191593366603534,0.0042854265576892,0.0551047789614644,0.0557440894296377,0.0100016553843845
ABR,0.0302217954902339,0.0152622348710566,0.0041361486096988,0.0041577483519421,0.1530235753209773,0.006906321662144,0.0055725824200963,0.0080305124947007,0.0081466293281967,0.0045191271156771,0.0022999295670532,0.0098848159383719
ABRACL,0.0005975729814277,0.0016405369971211,0.007048790439967,0.0003119425570201,0.0071402342866858,7.60892750340732e-07,0.0124415421916879,0.0084037724207731,0.0001259185471697,0.0018141826914428,0.0006135418063626,0.0016828278720166
ABTB1,0.0615141509990551,0.0634587390515484,0.0047152711427119,0.0258825606719097,0.1628857022865962,0.0253958923966118,0.0093549550903017,0.0200146464615549,0.0509221771082925,0.0320193321672688,0.0014985275381815,0.0069130574440021
ABTB2,0.0,0.0245205536603283,0.0002380125493186,0.0,0.0,0.0,0.0,1.0189809708807516e-05,0.0002792591521361,0.0005535476257229,0.0,0.0
AC002519.6,0.0109731173785595,0.0077492264073834,0.0,0.0063545937954752,0.0029285541416538,0.0001805510993503,0.0029419594953119,0.0585462265553359,0.000615669795556,0.0049703631338034,0.0102822300151558,0.0074898371096154
AC004057.1,0.0008963329792034,0.0,0.0,0.0,0.0014542099400314,2.095716455170498e-05,0.0067697819731725,0.0004795948644842,0.0468188082835447,0.0139862327132852,0.0487326378698394,0.0010653493487461
AC004076.9,0.0089818564996594,0.0004945532420414,0.0180666934628453,0.0441038578332727,0.0178482344504198,0.0002418170657326,0.0118553670226189,0.0359590687403019,0.0047700541862451,0.0005470726303163,0.001392801552595,0.0005237927016869
AC004381.6,0.0675974975388002,0.0178607617153819,0.0001461180328435,0.1135267244220514,0.4395050093151502,0.0041617635333844,0.0551758664547805,0.0191355401205631,0.0026040955213117,0.0342847528241531,0.0356532553322085,0.0003000521994774
AC004980.7,0.0001144165441646,0.0005256063163404,0.0093561822903743,0.0458609929999218,0.1219615633822279,0.0100190962796472,0.0117002192800514,0.0004843437939254,0.0109730717205209,0.0023616790141179,0.0002007843168827,0.0002642767257862
AC005077.12,0.1113242113476197,0.0020117882035302,0.0,0.0028391191428151,0.0067409757386003,0.075224849069347,0.0005514763021783,0.1435765863415817,0.0201349762849716,0.0006238331554033,0.0014515385719182,0.0308894123064882
AC006116.20,0.0424757048415431,0.0114829802021925,0.0,0.0310756670927769,0.0051977993271972,0.0014845880946347,0.0046657601128517,0.0756055923329379,0.0256980080116268,0.0118372553116173,0.0239513221968099,0.0150198177783382
AC006547.14,0.007279040409782,0.3572569554843575,0.0462215766555219,0.0125672408161964,0.003890965248397,0.0009206981380804,0.000237743186062,0.0008266641136353,0.0021093270447956,0.0037142431185622,0.0004294355415757,0.0001102754657661
AC007040.11,0.0004544279322144,0.0226506221506536,0.0005314615943748,0.0030512316486648,0.0356193053813641,0.0164524388415192,0.0053454778742882,0.0588173446876133,0.012696466696097,0.0051778928960245,0.0173645874896677,0.0044367135135061
AC008132.13,0.0328139628854663,0.2720265170596107,0.0032729700641377,0.0054902376091735,0.0054389164801248,6.356258494788448e-05,0.0250983005344974,1.0664491898659764e-05,0.0066365089314509,0.0004646432554294,0.0748947140611246,0.0085634279257829
AC009237.8,0.1140701384236324,0.001901431085324,0.023256713254542,0.0145327877135817,0.2099160148716375,0.0062077669143532,0.001201073812993,0.0176775413496165,0.0042285387400385,0.0055953825237788,0.0006187907937303,0.0021420674944611
AC010423.1,0.0009587797175221,0.0,0.0025997711639022,0.0086020544843799,0.0029581928686656,0.0013854054322676,0.002206633921181,0.0475114283401683,0.001643000326391,0.0013554077162107,0.0287283765188137,0.023655011207779
AC010980.2,0.0229262131217344,0.0081169261301669,0.0035263358486775,0.0216983690289246,0.1307446277272103,0.0069568435221055,0.0328336646627675,0.0062805898921221,0.0059597341239703,0.0127108353390197,0.0016181523530211,0.0116581435648205
AC011322.1,0.0647594821801661,0.0014586849063692,0.0142813976664273,0.0041543520393845,0.377880040412394,0.0005393783038154,0.0003186917581107,0.0011353453389499,0.0009658651291187,0.0005209679405565,0.00190165957575,0.0012098075555482
AC015922.5,0.0006574198552323,0.0144574018600937,0.0,0.0032612764104855,0.0424800800898407,0.019946324481438,0.0286186045866835,0.000313693983907,0.0018505507366671,0.0152217788577782,0.00079559929018,0.0087547816748956
AC018755.16,0.0029380735170703,0.004561001436726,0.0026958616828274,6.281644699774061e-05,0.0013109955618072,0.0016308738433314,0.0108912411123767,0.0096136344653578,0.0012245099216195,0.0062545745591049,0.0012940501969059,0.0006563951368629
AC018804.7,0.0027861199827047,0.0417459348144444,0.0283258785167794,0.0039282622720811,0.0812650734667101,0.0129269955602651,0.0146144601199729,0.0008449838405775,0.006072697900936,0.0187910378724298,0.0402949834676984,0.0242428686557677
